N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
7;Septiäme chambre;Grand Port maritime du Havre ;EPIC;GPMH
7;Septiäme chambre;Grand Port maritime de Marseille;EPIC;GPMM
7;Septiäme chambre;Grand Port maritime de Nantes Saint Nazaire;EPIC;GPMN
7;Septiäme chambre;Grand Port maritime de la Guadeloupe;EPIC;GPMG (ex PAG)
7;Septiäme chambre;SNCF MobilitÇ (SociÇtÇ nationale des chemins de fer franáais);;SNCF
7;Septiäme chambre;AÇroport de Paris;;AdP
7;Septiäme chambre;Chambre nationale de la batellerie artisanale;EPA;CNBA
7;Septiäme chambre;Ecole nationale de l'aviation civile ;EPA;ENAC
2;Deuxiäme chambre;Agence comptable des services industriels de l'armement ;;ACSIA
2;Deuxiäme chambre;Office national d'Çtudes et de recherches aÇrospatiales;EPIC;ONERA
2;Deuxiäme chambre;Economat des armÇes;EPIC;ECONARM
2;Deuxiäme chambre;AcadÇmie de marine;EPA;ACMAR
2;Deuxiäme chambre;MusÇe de la marine;EPA;MUSMAR
2;Deuxiäme chambre;MusÇe de l'armÇe;EPA;MUSARM
2;Deuxiäme chambre;Ecole polytechnique de Palaiseau ;EPA;EPP
7;Septiäme chambre;Port autonome de Paris ;EPIC;PAP
3;Troisiäme chambre;Institut franáais de recherche pour l'exploitation de la mer;EPIC;IFREMER
2;Deuxiäme chambre;SociÇtÇ de gestion des participations aÇronautiques;;SOGEPA
7;Septiäme chambre;SociÇtÇ Franáaise du tunnel routier de Frejus;;SFTRF
7;Septiäme chambre;SociÇtÇ des Autoroutes et tunnel du Mont-Blanc ;;ATMB
1;Premiäre chambre;DRFIP DE LA LORRAINE                                                                                                                                                                                                                        ;;DRFiP57
1;Premiäre chambre;DRFIP D'AUVERGNE                                                                                                                                                                                                                  ;;DRFiP63
1;Premiäre chambre;DDFIP DES PYRENEES ATLANTIQUES                                                                                                                                                                                                              ;;DDFiP64
1;Premiäre chambre;DRFIP D'ALSACE                                                                                                                                                                                                                  ;;DRFiP67
1;Premiäre chambre;DDFIP DU HAUT RHIN                                                                                                                                                                                                                          ;;DDFiP68
1;Premiäre chambre;RECETTE PRINCIPALE REGIONALE DES DOUANES DE PARIS;;RPRDP
7;Septiäme chambre;Office national de la chasse et de la faune sauvage;EPA;ONCFS
7;Septiäme chambre;Agence de l'eau Seine Normandie;EPA;AESN
7;Septiäme chambre;Agence de l'eau Adour-Garonne;EPA;AEAG
7;Septiäme chambre;Agence de l'eau Rhin-Meuse;EPA;AERM
7;Septiäme chambre;Agence de l'eau Loire-Bretagne;EPA;AELB
7;Septiäme chambre;Agence de l'eau Artois-Picardie;EPA;AEAP
7;Septiäme chambre;Agence de l'eau Rhìne-MÇditerranÇe-Corse;EPA;AERMC
7;Septiäme chambre;Parc national des Ecrins;EPA;PNE
7;Septiäme chambre;Parc national des PyrÇnÇes occidentales;EPA;PNPO
7;Septiäme chambre;Parc national de Port-Cros;EPA;PNPC
7;Septiäme chambre;Parc national de la Vanoise;EPA;EPNV
7;Septiäme chambre;Parc national du Mercantour;EPA;PNM
7;Septiäme chambre;Parc national des CÇvennes;EPA;PNC
7;Septiäme chambre;Conservatoire national de l'espace littoral et des rivages lacustres ;EPA;CNELRL
5;Cinquiäme chambre;"Agence nationale de l'Habitat
(ex: Agence nationale pour l'amÇlioration de l'habitat)";EPA;ANAH
1;Premiäre chambre;Banque de France;;BdF
7;Septiäme chambre;Institut national de l'information gÇographique et forestiäre (Institut gÇographique national);EPA;IGN
4;Quatriäme chambre;Centre national de la fonction publique territoriale;EPA;CNFPT
1;Premiäre chambre;Caisse centrale de rÇassurance;;CCR
2;Deuxiäme chambre;Commissariat Ö l'Çnergie atomique et aux Çnergies alternatives;;CEA
2;Deuxiäme chambre;ElectricitÇ de France ;;EDF
2;Deuxiäme chambre;Bureau de recherches gÇologiques et miniäres;EPIC;BRGM
3;Troisiäme chambre;Fondation Singer Polignac ;EPA;
4;Quatriäme chambre;Ordre de la lÇgion d'honneur grande chancellerie budget annexe de l'êtat;;
4;Quatriäme chambre;Ecole nationale de la magistrature;EPA;ENM
4;Quatriäme chambre;RÇgie industrielle des Çtablissements pÇnitentiaires  (Compte de commerce n¯ 904-11)                                                                                                                                                                        ;;RIEP
2;Deuxiäme chambre;Centre national d'Çtudes spatiales;EPIC;CNES
2;Deuxiäme chambre;Institut national de la propriÇtÇ industrielle;EPA;INPI
2;Deuxiäme chambre;Laboratoire national de mÇtrologie et d'essais;EPIC;LNME
4;Quatriäme chambre;Budget annexe Publication officielles et information administrative BUDGET ANNEXE DES JOURNAUX OFFICIELS (ID 1552 DOCUMENTATION FRANCAISE INCLUSE DEPUIS 2007)                                                                                                                                                                ;;JO
3;Troisiäme chambre;UniversitÇ PanthÇon - Sorbonne Paris I;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre national de la recherche scientifique;EPST;CNRS
4;Quatriäme chambre;Agence de l'outre-mer pour la mobilitÇ;;LADOM
3;Troisiäme chambre;Office national d'information sur les enseignements et les professions;EPA;ONISEP
3;Troisiäme chambre;Ecole nationale d'ingÇnieurs de Tarbes;EPA;ENIT
3;Troisiäme chambre;Ecole nationale d'ingÇnieurs de Saint-Etienne;EPSCP;ENISE
3;Troisiäme chambre;Ecole nationale d'ingÇnieurs de Brest;EPA;ENIB
